#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
8719732639440,-0.2383719087,0.7878636718,0.7874150276,0.7200641603,-0.5881301737,-0.1367890829,0.3419053242
8719765934240,-0.2356433421,0.8310782313,0.7636159062,0.7207264100,-0.5968898962,-0.1370270661,0.3248068300
8719799218940,-0.2287813872,0.8733413815,0.7326493263,0.7170244505,-0.6128599177,-0.1419276189,0.3002252648
8719832508740,-0.2208158374,0.9159698486,0.6983243227,0.7042169001,-0.6370553398,-0.1476335829,0.2764839540
8719865802740,-0.2123877853,0.9564694166,0.6600047350,0.6858375525,-0.6654467443,-0.1469622373,0.2553616709
8719899087040,-0.1994217336,0.9929728508,0.6132773757,0.6573493584,-0.7018555513,-0.1494356715,0.2301294989
8719932377640,-0.1855959743,1.0268793106,0.5653952360,0.6234110323,-0.7398765958,-0.1491626883,0.2041857005
8719965664840,-0.1717948169,1.0573422909,0.5159413815,0.5868825062,-0.7750770113,-0.1510354662,0.1789213192
8719998954940,-0.1588285863,1.0850194693,0.4693607986,0.5464343627,-0.8084305533,-0.1559491193,0.1533929594
8720032243340,-0.1494174749,1.1117715836,0.4275461435,0.5103467046,-0.8349406621,-0.1576552521,0.1325335934
8720065533640,-0.1430935562,1.1383018494,0.3928093910,0.4789116790,-0.8548665306,-0.1646930510,0.1127963543
8720098823040,-0.1418056637,1.1667679548,0.3670971394,0.4513902610,-0.8705451980,-0.1700189838,0.0974239993
8720132111940,-0.1472063214,1.1984063387,0.3533215225,0.4323904988,-0.8808851588,-0.1721539449,0.0862717380
8720165402140,-0.1598917544,1.2355548143,0.3554462194,0.4328616839,-0.8799284668,-0.1757304335,0.0864608046
8720198711140,-0.1804289818,1.2812305689,0.3723996878,0.4483638664,-0.8708590192,-0.1790358259,0.0923070154
8720231979740,-0.2068377137,1.3310328722,0.4100591540,0.4844403350,-0.8497889262,-0.1805203328,0.1029016628
8720265270240,-0.2389826328,1.3812735081,0.4646648467,0.5323860398,-0.8184360206,-0.1802373498,0.1193401966
8720298567240,-0.2747391760,1.4296065569,0.5331095457,0.5873793783,-0.7765133743,-0.1789541787,0.1413783836
8720331847840,-0.3109913468,1.4715797901,0.6133681536,0.6458533093,-0.7249292380,-0.1751585816,0.1633112798
8720365137640,-0.3439438939,1.5054197311,0.6996030807,0.7064169037,-0.6616753329,-0.1685280648,0.1864382025
8720398461840,-0.3724464178,1.5301882029,0.7867681980,0.7637334835,-0.5891715113,-0.1593453539,0.2102311936
8720431716940,-0.3959750533,1.5456428528,0.8687555790,0.8118108044,-0.5152290167,-0.1458099102,0.2328985795
8720465005940,-0.4148321152,1.5526800156,0.9395651221,0.8470131518,-0.4483670467,-0.1263723338,0.2560580897
8720498300840,-0.4320359528,1.5559012890,0.9961432219,0.8702110186,-0.3905116708,-0.1110049949,0.2791259737
8720531586540,-0.4491319656,1.5577070713,1.0360572338,0.8825208800,-0.3470070526,-0.1013557350,0.3007823411
8720564873440,-0.4703469872,1.5611418486,1.0554820299,0.8849640017,-0.3236251817,-0.0971861644,0.3204064712
8720598169140,-0.4936504364,1.5702228546,1.0519106388,0.8801733610,-0.3217001469,-0.1028328286,0.3335105387
8720631453340,-0.5123673677,1.5778393745,1.0311239958,0.8711880580,-0.3360892952,-0.1195523079,0.3373167634
8720664799040,-0.5420069098,1.5914828777,0.9953003526,0.8530971950,-0.3718025363,-0.1456706962,0.3358096161
8720698030740,-0.5739826560,1.6071534157,0.9438198209,0.8266405173,-0.4187984617,-0.1745003550,0.3329007807
8720731321540,-0.6043331623,1.6208732128,0.8805667758,0.7922430387,-0.4722923191,-0.2014480766,0.3297113971
8720764610740,-0.6315447688,1.6302073002,0.8055883050,0.7453431739,-0.5355177274,-0.2319270116,0.3223261982
8720797900340,-0.6519802213,1.6335359812,0.7224689722,0.6899223820,-0.5979003817,-0.2628507873,0.3121405197
8720831189840,-0.6660180688,1.6280137300,0.6402474046,0.6313581384,-0.6533506427,-0.2913085780,0.2994313797
8720864477640,-0.6727795601,1.6160466671,0.5627059937,0.5768766116,-0.6955661427,-0.3204348524,0.2841172673
8720897769540,-0.6704838276,1.6013287306,0.4875242710,0.5238685356,-0.7282565482,-0.3560982771,0.2615304464
8720931067240,-0.6608204842,1.5854146481,0.4200828373,0.4748076075,-0.7512687842,-0.3937663928,0.2347359744
8720964346040,-0.6453388929,1.5670301914,0.3620921671,0.4193229715,-0.7709428789,-0.4321368368,0.2075405440
8720997636540,-0.6271970868,1.5480313301,0.3167804778,0.3645681486,-0.7864086726,-0.4647509514,0.1807152949
8721030931240,-0.6126267910,1.5325485468,0.2873426080,0.3198745075,-0.7943235794,-0.4909629849,0.1602675827
8721064213840,-0.6087408662,1.5234258175,0.2712225318,0.2875838242,-0.7943512096,-0.5135267309,0.1503063420
8721097504140,-0.6243561506,1.5195001364,0.2770705819,0.2776999997,-0.7864092980,-0.5303839903,0.1521050592
